,description,url,publishedAt,FinBERT score
0,The Chiefs head coach seemed rather unfazed by the play.,https://nypost.com/2024/08/22/sports/andy-reid-wasnt-impressed-with-patrick-mahomes-behind-the-back-pass/,2024-08-22T22:50:41Z,0.0
1,"Startup to revolutionize streamer, creator, and game studio economy for $272 billion gaming market Startup to revolutionize streamer, creator, and game studio economy for $272 billion gaming market",https://www.globenewswire.com/news-release/2024/08/22/2934602/0/en/Animoca-Brands-Backed-Soulbound-Raises-4-Million-for-Web3-Social-Gaming.html,2024-08-22T20:15:00Z,0.0
2,"There are five Skandha items in . In fact, one of them can be obtained very early in the campaign, though the description itself seems rather confusing –you’re simply told that it was once “hidden inside Buddha’s head” and that “its secret is yet to be reveal…",https://www.digitaltrends.com/gaming/black-myth-wukong-skandha-items-guide/,2024-08-22T17:26:54Z,0.0
3,"Starting in October, Apple will require you to submit your ID for verification to use Apple Cash, thanks to new regulations that are coming into play.",https://www.imore.com/iphone/to-use-apple-cash-youll-need-to-submit-your-id-for-verification-starting-from-october,2024-08-22T16:47:49Z,0.0
4,"NEWS – We live in a world where convenience and portability are key components that drive the vast use of technology. Personally, my need for portability has evolved from just a laptop to a mini PC and a device that integrates, the screen, keyboard, and audio…",https://the-gadgeteer.com/2024/08/22/elecrow-crowview-note-efficient-workstation-portability/,2024-08-22T16:30:27Z,0.0
5,"Union Home Minister Amit Shah received a Rs 19.08 crore dividend cheque from Repco Bank, which reported an impressive 11% growth for FY 2023-24. Shah praised the bank’s achievements and commitment.",https://economictimes.indiatimes.com/markets/stocks/news/home-minister-amit-shah-receives-rs-19-08-crore-dividend-of-repco-bank/articleshow/112718459.cms,2024-08-22T16:20:48Z,0.0
6,Indian bonds attract foreign investors as Wall Street forecasts lackluster future growth in stock prices.,https://www.cnbc.com/2024/08/22/cnbcs-inside-india-newsletter-the-search-for-a-stock-market-alternative.html,2024-08-22T16:02:38Z,0.0
7,"""On the daily chart, Nifty continues to move towards the upper Bollinger band. Additionally, the index has been sustaining above the critical near-term moving average. Sentiment may continue to favor the bulls as long as it remains above 24,650. On the other …",https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-action-on-friday/articleshow/112717840.cms,2024-08-22T15:39:04Z,0.0
8,"Thematic Investing: Index funds add 1 million folios in July, 14% of total additions",https://www.business-standard.com/markets/mutual-fund/passive-boost-for-red-hot-thematic-investing-theme-124082201100_1.html,2024-08-22T15:19:22Z,0.0
9,"Indian equity markets surged on Thursday, tracking global peers, after minutes of the US Federal Reserve's latest policy meeting signalled a rate cut as early as next month. The S&P BSE Sensex closed 0.18% higher at 81,053, while the NSE Nifty50 index ended a…",https://m.economictimes.com/markets/stocks/news/market-trading-guide-bharat-forge-godrej-consumer-among-6-stock-recommendations-for-friday/stock-ideas/slideshow/112717688.cms,2024-08-22T15:16:20Z,0.0
10,"As outlined in the bankers' term sheet, the Bangas intend to sell 4.09 crore shares at a floor price of Rs 198 per share, representing a 5.9% discount to Thursday’s closing price of Rs 210.",https://economictimes.indiatimes.com/markets/stocks/news/harindarpal-singh-banga-to-sell-1-4-in-nykaa-for-rs-809-crore/articleshow/112717024.cms,2024-08-22T14:56:14Z,0.0
11,"Banking Fund Investments: Since banking and financial services is a large listed space, it has 55 passively and actively managed funds. The most recent addition is Bandhan Nifty Bank Index Fund",https://www.business-standard.com/finance/personal-finance/allocate-5-10-to-banking-funds-to-gain-from-rate-cuts-valuations-124082200839_1.html,2024-08-22T14:53:17Z,0.0
12,"If you need a quick little flash drive for moving files between devices, you can’t go wrong with the Samsung Fit Plus — especially when the Samsung Fit Plus (128GB) is on sale for just $15 on Amazon.




This is an incredible price for a nifty little accesso…",https://www.pcworld.com/article/2435417/samsungs-128gb-mini-flash-drive-is-dirt-cheap-right-now.html,2024-08-22T14:28:54Z,0.0
13,"MSI showed off its upcoming MPG X870E Carbon WIFI motherboard at Gamescom 2024 which packs a lot of great features & IO capabilities. MSI's MPG X870E Carbon WIFI Motherboards Packs A Ton of Features, Strong Power Delivery & Great IO Capabilities The MSI MPG X…",https://wccftech.com/msi-mpg-x870e-carbon-wifi-motherboard-20-vrm-phases-dual-usb4-ports-ez-clip-m-2/,2024-08-22T14:25:40Z,0.0
14,"AMD has recently launched its Ryzen 9000 series CPUs, including the flagship Ryzen 9 9950X. While these work perfectly well with existing AM5 X670 motherboards, ASUS has some new products up its sleeve. 

Encompassing the new X870 and X870E, there are various…",https://hothardware.com/news/asus-brandishes-x870-and-x870e-motherboard-arsenal-for-ryzen-9000,2024-08-22T13:29:00Z,0.0
15,"Indian markets closed in positive territory on Thursday, following gains in Asian and European markets. This is due to FOMC minutes indicating a likely U.S. rate cut next month. Sensex gained 147.8 points and closed at 81,053, while the NSE Nifty50 rose 41.3 …",https://economictimes.indiatimes.com/markets/stocks/etmarkets-podcast/et-market-watch-sensex-gains-148-pts-nifty-up-24800-on-positive-global-cues/podcast/112715531.cms,2024-08-22T13:22:29Z,0.0
16,"RuPaul Charles is best known for creating and hosting the global hit reality TV series “RuPaul’s Drag Race,”but Ru is also a car guy. In fact, in a March 2024 interview with NPR, Ru said, “I love cars. They represent freedom….” Ru’s first car video starred hi…",https://jalopnik.com/watch-rupaul-demonstrate-how-to-change-a-tire-on-his-vi-1851628359,2024-08-22T13:15:00Z,0.0
17,Trent's addition to Nifty will take the total count of Tata group stocks in the 50-share index to six,https://www.business-standard.com/markets/news/fashion-retailer-trent-shares-jumps-over-3-ahead-of-nifty-rejig-124082201053_1.html,2024-08-22T12:47:23Z,0.0
18,"According to Chandan Taparia of Motilal Oswal, the Nifty needs to stay above 24,700 to keep pushing towards the 25,000 and 25,100 levels. If it drops, there's support at 24,700 and then again at 24,550.",https://economictimes.indiatimes.com/markets/stocks/news/tech-view-nifty-charts-in-favour-of-bulls-support-at-24700-24550-heres-how-to-trade-on-friday/articleshow/112713909.cms,2024-08-22T12:22:59Z,0.0
19,"Merrell 1TRL, the syle-focused division of the outdoor footwear label, has just created the ultimate hybrid shoe: the Merrell 1TRL AGILITY PEAK 5 GORE-TEX.",https://www.highsnobiety.com/p/merrell-agility-peak-5/,2024-08-22T12:20:30Z,0.0
20,"The domestic stock market closed slightly higher today, driven by consumer durables and PSU banks. However, media and IT stocks pulled back. The Nifty50 ended above the 24,800 mark. Media and IT stocks, however, declined. Investors are now focused on U.S. eco…",https://www.business-standard.com/markets/capital-market-news/barometers-extend-gains-nifty-above-24-800-mark-vix-drops-to-13-124082200963_1.html,2024-08-22T12:09:00Z,0.0
21,"From the Sensex pack, Bharti Airtel, Tata Steel, ICICI Bank, Titan and Ultratech Cement were the top gainers",https://www.thehindubusinessline.com/multimedia/video/stock-markets-extend-gains-for-third-consecutive-session-amid-strong-global-cues/article68554411.ece,2024-08-22T12:07:07Z,0.0
22,The Nifty Realty index closed 0.47 per cent  up  at 1043.45.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-realty-index-advances-0-47/articleshow/112713163.cms,2024-08-22T11:56:48Z,0.0
23,"Warburg Pincus exited Kalyan Jewellers on Thursday, selling a 2.36% stake to promoter T S Kalyanaraman and 6.81% via a block deal. Warburg Pincus had reduced its holding from 30% since 2014 as part of a strategic divestment.",https://economictimes.indiatimes.com/markets/stocks/news/warburg-pincus-exits-kalyan-jewellers-sells-2-36-stake-to-promoter-ts-kalyanaraman/articleshow/112712992.cms,2024-08-22T11:51:52Z,0.0
24,The Nifty Bank index closed 0.59 per cent  up  at 50985.7.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-bank-index-advances-0-59/articleshow/112712987.cms,2024-08-22T11:51:42Z,0.0
25,The Nifty IT index closed 0.16 per cent  down  at 41506.2.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-it-index-falls-0-16/articleshow/112712840.cms,2024-08-22T11:46:34Z,0.0
26,The NSE Nifty index closed 41.3 points  up  at 24811.5,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/112712719.cms,2024-08-22T11:41:26Z,0.0
27,"Market sentiment was buoyed by anticipation of U.S. Fed Chair Jerome Powell’s speech. Analysts remain cautiously optimistic, advising stock-specific focus and proper risk management",https://www.thehindubusinessline.com/markets/indian-markets-rise-for-sixth-day-investors-eye-powells-speech-for-rate-cut-clues/article68554091.ece,2024-08-22T11:41:10Z,0.0
28,"Top 10 Retro-Themed Music Players To Enhance Your Audio Experience With Vintage FlairIf you’re a hardcore audiophile or have a few hardcore music lovers in your life, then you know a true blue audiophile just needs a...",https://www.yankodesign.com/2024/08/22/top-10-retro-themed-music-players-to-enhance-your-audio-experience-with-vintage-flair/,2024-08-22T11:40:06Z,0.0
29,The Nifty Auto index closed 0.09 per cent  down  at 25563.65.,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-auto-index-falls-0-09/articleshow/112712553.cms,2024-08-22T11:36:20Z,0.0
30,The NSE Nifty index closed 41.3 points  up  at 24811.5,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-in-todays-market-in-terms-of-volume/articleshow/112712383.cms,2024-08-22T11:31:14Z,0.0
31,The 30-share BSE Sensex closed  up  147.89 points at 81053.19,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-mining-stocks-up-as-market-rises/articleshow/112712279.cms,2024-08-22T11:26:08Z,0.0
32,"Gaurav Kochar, Fund Manager at Mirae Asset, notes that current market valuations for large-caps and mid-caps are higher than historical averages but are supported by strong earnings growth forecasts. He expressed a positive outlook on financials, consumer dis…",https://economictimes.indiatimes.com/markets/expert-view/why-is-mirae-asset-more-bullish-on-largecaps-over-small-and-midcaps-for-next-2-3-years-gaurav-kochar-explains/articleshow/112711811.cms,2024-08-22T11:24:03Z,0.0
33,The 30-share BSE Sensex closed  up  147.89 points at 81053.19,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-power-stocks-down-as-market-rises/articleshow/112712134.cms,2024-08-22T11:21:02Z,-0.4917829930782318
34,"This fund aims to capture the value created by India's
expanding consumer base, their changing preferences, and increasing purchasing power.",https://www.business-standard.com/finance/personal-finance/want-to-ride-india-s-consumer-wave-axis-mf-has-launched-a-consumption-fund-124082200859_1.html,2024-08-22T11:16:29Z,0.0
35,The 30-share BSE Sensex closed  up  147.89 points at 81053.19,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/112711786.cms,2024-08-22T11:10:53Z,0.0
36,"Tata Motors,  Wipro,  NTPC,  Dr. Reddys and  M&M were among the top losers on NSE in today's trade.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse-in-todays-trade/articleshow/112711438.cms,2024-08-22T11:00:43Z,-0.5791797041893005
37,[Removed],https://removed.com,2024-08-22T10:55:23Z,0.0
38,"In the Nifty pack, 25 stocks closed in the green, while 25 stocks ended in the red.",https://economictimes.indiatimes.com/markets/stocks/stock-watch/sensex-rises-but-these-stocks-fell-5-or-more-in-thursdays-session/articleshow/112711018.cms,2024-08-22T10:50:34Z,-0.8601272106170654
39,The 30-share BSE Sensex closed  up  147.89 points at 81053.19,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fmcg-stocks-up-as-market-rises/articleshow/112710805.cms,2024-08-22T10:45:24Z,0.0
