,title,url,publishedAt,FinBERT score
0,Andy Reid wasn’t impressed with Patrick Mahomes’ behind-the-back pass,https://nypost.com/2024/08/22/sports/andy-reid-wasnt-impressed-with-patrick-mahomes-behind-the-back-pass/,2024-08-22T22:50:41Z,0.0
1,Animoca Brands-Backed Soulbound Raises $4 Million for Web3 Social Gaming,https://www.globenewswire.com/news-release/2024/08/22/2934602/0/en/Animoca-Brands-Backed-Soulbound-Raises-4-Million-for-Web3-Social-Gaming.html,2024-08-22T20:15:00Z,0.0
2,Where to use Skandha items in Black Myth: Wukong,https://www.digitaltrends.com/gaming/black-myth-wukong-skandha-items-guide/,2024-08-22T17:26:54Z,0.0
3,"To use Apple Cash, you'll need to submit your ID for verification starting from October",https://www.imore.com/iphone/to-use-apple-cash-youll-need-to-submit-your-id-for-verification-starting-from-october,2024-08-22T16:47:49Z,0.0
4,Elecrow CrowView Note – Efficient workstation portability,https://the-gadgeteer.com/2024/08/22/elecrow-crowview-note-efficient-workstation-portability/,2024-08-22T16:30:27Z,0.0
5,Union Home Minister Amit Shah receives Rs 19.08 crore dividend of Repco Bank,https://economictimes.indiatimes.com/markets/stocks/news/home-minister-amit-shah-receives-rs-19-08-crore-dividend-of-repco-bank/articleshow/112718459.cms,2024-08-22T16:20:48Z,0.0
6,CNBC's Inside India newsletter: The search for a stock market alternative,https://www.cnbc.com/2024/08/22/cnbcs-inside-india-newsletter-the-search-for-a-stock-market-alternative.html,2024-08-22T16:02:38Z,0.0
7,Ahead of Market: 10 things that will decide stock action on Friday,https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-10-things-that-will-decide-stock-action-on-friday/articleshow/112717840.cms,2024-08-22T15:39:04Z,0.0
8,Red-hot thematic investing theme receives a 'passive' boost in July,https://www.business-standard.com/markets/mutual-fund/passive-boost-for-red-hot-thematic-investing-theme-124082201100_1.html,2024-08-22T15:19:22Z,0.0
9,"Market Trading Guide: Bharat Forge, Godrej Consumer among 6 stock recommendations for Friday",https://m.economictimes.com/markets/stocks/news/market-trading-guide-bharat-forge-godrej-consumer-among-6-stock-recommendations-for-friday/stock-ideas/slideshow/112717688.cms,2024-08-22T15:16:20Z,0.0
