title,url,publishedAt
Sensex surges over 800 pts as global markets rally,https://timesofindia.indiatimes.com/business/india-business/sensex-surges-over-800-pts-as-global-markets-rally/articleshow/112415897.cms,2024-08-09T23:58:39Z
Centre gets into the Act to create desi 'Big Fours',https://economictimes.indiatimes.com/industry/services/consultancy-/-audit/centre-gets-into-the-act-to-create-desi-big-fours/articleshow/112411843.cms,2024-08-09T23:41:00Z
Equity markets end turbulent week with 1% gain; Sensex up 820 points,https://www.business-standard.com/markets/stock-market-news/equity-markets-end-turbulent-week-with-1-gain-sensex-up-820-points-124080901710_1.html,2024-08-09T17:58:59Z
"ET Market Watch: Sensex up over 800 points, Nifty above 24,350 level on positive global cues",https://economictimes.indiatimes.com/markets/stocks/etmarkets-podcast/et-market-watch-sensex-up-over-800-points-nifty-above-24350-level-on-positive-global-cues/podcast/112410382.cms,2024-08-09T17:11:26Z
Muthoot Microfin Q1 Results: Net profit rises 18% YoY to Rs 113 crore,https://economictimes.indiatimes.com/markets/stocks/earnings/muthoot-microfin-q1-results-net-profit-rises-18-yoy-to-rs-113-crore/articleshow/112409922.cms,2024-08-09T16:41:23Z
Fantasy Football's All-Boring Team: 7 of the un-flashiest vets to trust in 2024,https://sports.yahoo.com/fantasy-football-boring-vets-amari-cooper-ezekiel-elliott-162525232.html,2024-08-09T16:25:25Z
Indices gain 1% on positive global cues,https://www.thehindubusinessline.com/markets/indices-gain-1-on-positive-global-cues/article68506465.ece,2024-08-09T15:06:04Z
Wockhardt Q1 Results: Net loss narrows to Rs 16 crore,https://economictimes.indiatimes.com/markets/stocks/earnings/wockhardt-q1-results-net-loss-narrows-to-rs-16-crore/articleshow/112408105.cms,2024-08-09T14:20:19Z
India's forex reserves touch a fresh high of $674.9 bn as of Aug 2,https://economictimes.indiatimes.com/news/economy/indicators/indias-forex-reserves-touch-a-fresh-high-of-674-9-bn-as-of-aug-2/articleshow/112416595.cms,2024-08-09T14:12:29Z
"To generate alpha, AMCs go extra mile with new ideas",https://www.thehindubusinessline.com/markets/to-generate-alpha-amcs-go-extra-mile-with-new-ideas/article68506105.ece,2024-08-09T14:11:28Z
"This Week in Security: GhostWrite, Localhost, and More",https://hackaday.com/2024/08/09/this-week-in-security-ghostwrite-localhost-and-more/,2024-08-09T14:00:02Z
Property Share gets SEBI license for small and medium REIT,https://economictimes.indiatimes.com/markets/stocks/news/property-share-gets-sebi-license-for-small-and-medium-reit/articleshow/112407602.cms,2024-08-09T13:48:01Z
US stocks open lower at end of turbulent week,https://economictimes.indiatimes.com/markets/stocks/news/us-stocks-open-lower-at-end-of-turbulent-week/articleshow/112407329.cms,2024-08-09T13:35:17Z
Kamdhenu Q1 Results: Profit grows 28% YoY to over Rs 15 cr,https://economictimes.indiatimes.com/markets/stocks/earnings/kamdhenu-q1-results-profit-grows-28-yoy-to-over-rs-15-cr/articleshow/112407123.cms,2024-08-09T13:27:08Z
Equity funds log second-most monthly inflows in July despite mkt volatility,https://www.business-standard.com/markets/news/equity-funds-log-second-most-monthly-inflows-in-july-despite-mkt-volatility-124080901494_1.html,2024-08-09T13:19:43Z
SBI Innovative Opportunities Fund: What you should know,https://www.thehindubusinessline.com/portfolio/sbi-innovative-opportunities-fund-what-you-should-know/article68505323.ece,2024-08-09T13:05:47Z
Mastering Derivatives: Applying VIX to trading strategies,https://www.thehindubusinessline.com/portfolio/commodity-analysis/mastering-derivatives-applying-vix-to-trading-strategies/article68500306.ece,2024-08-09T12:49:08Z
"Sensex surges 820 pts; Nifty above 24,350; VIX drops 7.45%",https://www.business-standard.com/markets/capital-market-news/sensex-surges-820-pts-nifty-above-24-350-vix-drops-7-45-124080901425_1.html,2024-08-09T12:32:00Z
Inox Green Energy Services Q1 Results: Profit jumps 55% YoY to Rs 4.14 cr,https://economictimes.indiatimes.com/markets/stocks/earnings/inox-green-energy-services-q1-results-profit-jumps-55-yoy-to-rs-4-14-cr/articleshow/112405614.cms,2024-08-09T12:24:16Z
"AIF & PMS Conclave 2.0: Investing in Indian SMEs—decoding order book, growth trajectories, red flags",https://economictimes.indiatimes.com/markets/aif-pms/aif-pms-conclave-2-0-investing-in-indian-smesdecoding-order-book-growth-trajectories-red-flags/articleshow/112404183.cms,2024-08-09T12:23:13Z
Tech View: Nifty ends week with Hammer candle. Here’s how to trade on Monday,https://economictimes.indiatimes.com/markets/stocks/news/tech-view-nifty-ends-week-with-hammer-candle-heres-how-to-trade-on-monday/articleshow/112405580.cms,2024-08-09T12:21:04Z
"INR settles higher; SENSEX, NIFTY rally on positive global cues",https://www.business-standard.com/markets/capital-market-news/inr-settles-higher-sensex-nifty-rally-on-positive-global-cues-124080901351_1.html,2024-08-09T11:58:00Z
Stock market update: Stocks that hit 52-week highs on NSE in today's trade,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-highs-on-nse-in-todays-trade/articleshow/112405002.cms,2024-08-09T11:57:06Z
"Migrants in Chicago allege abusive racial slurs and harassment from Home Depot and police, then admit they don’t really understand English",https://freerepublic.com/focus/f-chat/4257316/posts,2024-08-09T11:50:35Z
Sensex rises! But these stocks fell 5% or more in Friday's session,https://economictimes.indiatimes.com/markets/stocks/stock-watch/sensex-rises-but-these-stocks-fell-5-or-more-in-fridays-session/articleshow/112404709.cms,2024-08-09T11:46:56Z
Stock market update: Nifty Auto index advances 1.72%,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-auto-index-advances-1-72/articleshow/112404401.cms,2024-08-09T11:36:42Z
Stock market update: Stocks that hit 52-week lows on NSE in today's trade,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-stocks-that-hit-52-week-lows-on-nse-in-todays-trade/articleshow/112404233.cms,2024-08-09T11:31:36Z
Kennametal India reports 8.3% growth in June quarter revenue,https://economictimes.indiatimes.com/markets/stocks/news/kennametal-india-reports-8-3-growth-in-june-quarter-revenue/articleshow/112404196.cms,2024-08-09T11:30:02Z
Share market update: Most active stocks in today's market in terms of volume,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-in-todays-market-in-terms-of-volume/articleshow/112403941.cms,2024-08-09T11:21:18Z
"Tata Chemicals plans to raise Rs 1,700 crore through NCDs",https://economictimes.indiatimes.com/markets/bonds/tata-chemicals-plans-to-raise-rs-1700-crore-through-ncds/articleshow/112403866.cms,2024-08-09T11:19:14Z
Share market update: Most active stocks of the day in terms of traded value,https://economictimes.indiatimes.com/markets/stocks/stock-watch/share-market-update-most-active-stocks-of-the-day-in-terms-of-traded-value/articleshow/112403784.cms,2024-08-09T11:16:13Z
Stock market update: Nifty Realty index advances 1.55%,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-nifty-realty-index-advances-1-55/articleshow/112403625.cms,2024-08-09T11:11:07Z
Stock market update: Fertilisers stocks up as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-fertilisers-stocks-up-as-market-rises/articleshow/112403501.cms,2024-08-09T11:06:00Z
Friday Faves,https://www.foodiecrush.com/friday-faves-511/,2024-08-09T11:00:00Z
Stock market update: Sugar stocks down as market rises,https://economictimes.indiatimes.com/markets/stocks/stock-watch/stock-market-update-sugar-stocks-down-as-market-rises/articleshow/112403210.cms,2024-08-09T10:55:48Z
Splitgate 2 will add bum slides and time-altering bubbles to its portal-hopping shootsing,https://www.rockpapershotgun.com/splitgate-2-will-add-bum-slides-and-time-altering-bubbles-to-its-portal-hopping-shootsing,2024-08-09T10:55:14Z
