title,url,publishedAt
"Hindenburg doing character assassination in response to Sebi notice, says Madhabi Buch, denies allegation",https://economictimes.indiatimes.com/markets/stocks/hindenburg-doing-character-assassination-in-response-to-sebi-notice-says-madhabi-buch-denies-allegation/articleshow/112433211.cms,2024-08-10
"WATCH: Caleb Williams throws a difficult, dazzling pass to Cole Kmet on the run",https://www.nbcsportschicago.com/nfl/chicago-bears/bears-news/watch-caleb-williams-throws-a-difficult-dazzling-pass-to-cole-kmet-on-the-run/586142/?partner=yahoo,2024-08-10
WATCH: Caleb Williams dishes nifty shovel pass to D'Andre Swift for huge gain,https://www.nbcsportschicago.com/nfl/chicago-bears/bears-news/watch-caleb-williams-dishes-nifty-shovel-pass-to-dandre-swift-for-huge-gain/586133/?partner=yahoo,2024-08-10
U.S. Women’s Soccer Team Scores Victory at the Paris Olympics With Thrilling Gold Medal Win,https://time.com/7009804/us-womens-soccer-team-gold-medal-win-paris-summer-olympics/,2024-08-10
Episode #2000: Two Thousand Candles,https://gizwiz.tv/episode/2000,2024-08-10
"BASF India, Cera Sanityware, Triveni Turbine: 3 stocks that outperformed in the week ended August 9",https://www.thehindubusinessline.com/portfolio/basf-india-cera-sanityware-triveni-turbine-3-stocks-that-outperformed-in-the-week-ended-august-9/article68507348.ece,2024-08-10
These 8 apps will transform your Mac into something much more powerful,https://www.digitaltrends.com/computing/best-mac-apps-for-automation/,2024-08-10
F&O Strategy: Asian Paints: Buy put option,https://www.thehindubusinessline.com/portfolio/commodity-analysis/fo-strategy-asian-paints-buy-put-option/article68508890.ece,2024-08-10
F&O Tracker: Index futures trade in a band,https://www.thehindubusinessline.com/portfolio/commodity-analysis/fo-tracker-index-futures-trade-in-a-band/article68508852.ece,2024-08-10
Metropolis Q1 results: Net profit rises 31% to Rs 38 crore,https://economictimes.indiatimes.com/markets/stocks/earnings/metropolis-q1-results-net-profit-rises-31-to-rs-38-crore/articleshow/112430513.cms,2024-08-10
Aurobindo Pharma Q1 results: Net profit jumps 61% at Rs 919 crore,https://economictimes.indiatimes.com/markets/stocks/earnings/aurobindo-pharma-q1-results-net-profit-jumps-61-at-rs-919-crore/articleshow/112430407.cms,2024-08-10
Ola Electric Shares Surge on Debut as Investors Bet on Increasing EV Adoption,https://www.gadgets360.com/auto/news/ola-electric-shares-surge-increasing-ev-adoption-6308738,2024-08-10
"People Are Sharing The Zillions Of Nifty Things Available To Borrow From Their Libraries, And I Want To Check Out An Air Fryer SO Badly",https://www.buzzfeed.com/sienaegiljum/library-cool-free-items-borrow,2024-08-10
Add Apple CarPlay and Android Auto to any car with this 7-inch touchscreen!,https://nypost.com/2024/08/10/shopping/7-inch-wireless-car-display-is-42-off/,2024-08-10
"Index Outlook: Sensex, Nifty 50 & Nifty Bank: Fresh fall on the cards",https://www.thehindubusinessline.com/portfolio/technical-analysis/index-outlook-sensex-nifty-50-nifty-bank-fresh-fall-on-the-cards/article68508750.ece,2024-08-10
Nifty and Bank Nifty Prediction for the week 12 Aug’24 to 16 Aug’24 by BL GURU,https://www.thehindubusinessline.com/multimedia/video/nifty-and-bank-nifty-prediction-for-the-week-12-aug24-to-16-aug24-by-bl-guru/article68508922.ece,2024-08-10
Prudent Corporate Advisory reports a 51% increase in revenues and a 57% rise in profits,https://economictimes.indiatimes.com/markets/stocks/earnings/prudent-corporate-advisory-reports-a-51-increase-in-revenues-and-a-57-rise-in-profits/articleshow/112426355.cms,2024-08-10
[Removed],https://removed.com,1970-01-01
"Eagles stock up, stock down after preseason game vs. Baltimore",https://www.nbcsportsphiladelphia.com/nfl/philadelphia-eagles/eagles-stock-up-stock-down-after-preseason-game-vs-baltimore/607071/?partner=yahoo,2024-08-10
