,title,url,publishedAt,VADER score
0,The Best Smartphones You Can Buy in 2024,https://www.nextpit.com/best-phones-2024-jul,2024-08-01,0.0
1,Monster July Inflows Put ETFs on Track for $1 Trillion Year,http://www.etf.com/sections/monthly-etf-flows/monster-july-inflows-put-etfs-track-1-trillion-year?utm_source=yahoo-finance&utm_medium=rss&utm_campaign=yahoo-finance-rss,2024-08-01,0.0
2,Patriots quarterback watch: Drake Maye has a bounce-back day,https://www.bostonglobe.com/2024/08/01/sports/patriots-quarterbacks-drake-maye/,2024-08-01,0.0
3,"My favorite Star Wars game gets an HD re-release after 22 years, and thankfully it's miles ahead of the janky Star Wars Battlefront collection",https://www.gamesradar.com/games/action/my-favorite-star-wars-game-gets-an-hd-re-release-after-22-years-and-thankfully-its-miles-ahead-of-the-janky-star-wars-battlefront-collection/,2024-08-01,0.0
4,The Best Wayfair Outdoor Furniture Deals Available Right Now,https://www.forbes.com/sites/forbes-personal-shopper/2024/08/01/wayfair-outdoor-furniture-deals/,2024-08-01,0.0
5,"Nifty surpasses 25,000 mark for the first time; Sensex breaches 82,000",https://www.business-standard.com/markets/stock-market-news/nifty-tops-25-000-sensex-breaches-82k-as-fed-signals-first-rate-cut-124080101252_1.html,2024-08-01,0.0
6,HOPE XV UPDATE ON T-SHIRTS AND BADGE KITS,https://www.2600.com/content/hope-xv-update-t-shirts-and-badge-kits,2024-08-01,0.0
7,Score Samsung's Galaxy Watch 6 for $200 for a short time,https://www.androidheadlines.com/2024/08/score-samsungs-galaxy-watch-6-for-200-for-a-short-time.html,2024-08-01,0.0
8,2024 Ford Mustang Mach-E GT review: A thrilling mix of pedigree and electricity,https://slashdot.org/firehose.pl?op=view&amp;id=174646550,2024-08-01,0.0
9,2024 Ford Mustang Mach-E GT review: A thrilling mix of pedigree and electricity,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_afed4d85-2138-4b56-9d73-eb4b52995166,2024-08-01,0.0
10,[Removed],https://removed.com,1970-01-01,0.0
